Loan_ID,Delinquencies_2yrs,Earliest_credit_line,Inquiries_last_6mths,Months_Since_Last_Delinquency,Months_Since_Last_Record,Open_Account,Public_Records,Revolving_Balance,Revolving_Utilization,Total_Accounts,Total_Payment,Total_Payment_Inv,Total_Received_Principal,Total_Received_Interest,Total_Received_Late_Fee,Recoveries,Collection_Recovery_Fee,Last_Payment_Date,Payment_Status,Last_Payment_Amnt,Last_Credit_Pull_Date
107136,1,1969-02-01,2,19,0,10,0,17214,0.08,24,13128.88362,1634.41,12250,878.88,0,0,0,2008-04-01,Completed,9939.88,2007-07-01
109355,0,2004-05-01,2,24,0,3,0,1153,0.76,4,1425.37,0,1200,225.37,0,0,0,2010-07-01,Completed,39.45,2010-07-01
111227,0,1996-01-01,0,0,0,17,0,41674,0.74,26,20339.66,2845.82,16077.42,4262.24,0,0,0,2010-02-01,Completed,678.08,2016-05-01
111307,0,1995-04-01,3,78,0,9,0,43039,0.93,24,14449.28798,3010.27,12000,2449.29,0,0,0,2010-07-01,Completed,402.93,2010-07-01
111917,0,2001-04-01,0,0,0,7,0,3362,0.69,8,7395.962477,4709.15,6400,995.96,0,0,0,2010-08-01,Completed,206.58,2010-07-01
112216,2,1983-08-01,0,2,0,6,0,11868,0.72,23,14361.46082,1226.71,12000,2341.57,19.89,0,0,2011-03-01,Completed,239.9,2011-03-01
112245,0,1985-02-01,2,0,0,4,0,2562,0.14,7,5593.638527,4446.94,5000,593.64,0,0,0,2010-08-01,Completed,158.65,2016-04-01
112323,0,2003-09-01,0,0,0,17,0,1882,0.32,18,4097.157701,1316.94,3500,582.16,15,0,0,2010-09-01,Completed,6.57,2010-08-01
112496,0,2000-07-01,2,0,61,3,1,1064,0.71,6,3579.662273,626.44,3000,579.66,0,0,0,2010-08-01,Completed,101.51,2010-07-01
113156,1,1993-11-01,0,15,0,19,0,6432,0.06,37,3952.171178,3952.17,3500,452.17,0,0,0,2010-08-01,Completed,110.07,2010-07-01
113179,0,2004-07-01,1,0,0,9,0,4485,0.37,11,703.95,668.87,544.02,138.64,0,21.29,0.23,2009-05-01,Completed,32.55,2009-10-01
113194,1,1993-11-01,0,5,0,13,0,16310,0.21,32,4063.318618,2002.64,3500,563.32,0,0,0,2010-08-01,Completed,114.13,2010-07-01
116040,0,1991-04-01,0,38,0,9,0,20969,0.4,26,5778.087809,895.6,5000,778.09,0,0,0,2010-08-01,Completed,163.82,2010-08-01
116582,0,2000-03-01,0,44,0,10,0,22213,0.66,22,12260.31053,1195.38,10000,2260.31,0,0,0,2010-08-01,Completed,343.82,2010-08-01
117056,0,1992-12-01,1,47,0,12,0,2160,0.02,22,5592.073299,1649.66,5000,592.07,0,0,0,2010-01-01,Completed,1221.57,2010-01-01
117249,0,1980-09-01,0,0,0,13,0,813,0.01,36,5495.826405,1428.92,5000,495.83,0,0,0,2009-06-01,Completed,2233.27,2009-06-01
117794,0,1993-05-01,4,0,0,15,0,23678,0.24,60,7826.508179,417.44,7500,326.51,0,0,0,2008-03-01,Completed,6415.65,2007-06-01
117863,0,2000-05-01,3,0,0,10,0,11289,0.48,15,9199.512831,2616.11,8000,1199.51,0,0,0,2010-05-01,Completed,154.52,2014-02-01
118523,0,1990-07-01,0,0,0,11,0,56411,0.75,28,4054.35,139.42,2886.21,1168.14,0,0,0,2009-02-01,Completed,225.37,2016-05-01
118533,0,1994-02-01,3,0,0,9,0,269,0.04,35,2086.63,688.35,1730.83,354.44,1.36,0,0,2010-03-01,Completed,1.4,2016-05-01
118823,0,1992-07-01,1,0,0,11,0,3408,0.35,32,2220.61,599.28,1706.01,477.21,1.69,35.7,0.38,2010-03-01,Completed,1.76,2016-05-01
119043,0,1992-11-01,3,54,111,13,1,6513,0.34,29,11652.75,451.73,8688.59,2659.96,0,304.2,3.09,2009-10-01,Completed,1016.15,2010-03-01
120215,0,2002-11-01,0,0,0,2,0,330,0.11,4,4474.37586,3998.97,4000,474.38,0,0,0,2010-08-01,Completed,119.24,2015-04-01
120374,0,2000-08-01,1,24,0,13,0,5967,0.2,17,2279.4299,541.36,2000,279.43,0,0,0,2010-08-01,Completed,64.27,2010-08-01
120525,0,2001-08-01,1,0,0,4,0,5533,0.8,5,4708.070922,1736.1,4000,708.07,0,0,0,2010-08-01,Completed,134.78,2011-06-01
121426,0,1984-09-01,0,0,0,15,0,21050,0.01,24,3125.460949,3099.41,3000,125.46,0,0,0,2008-04-01,Completed,2563.59,2007-08-01
121530,0,1984-09-01,0,0,0,17,0,21050,0.01,29,3125.435781,2318.03,3000,125.44,0,0,0,2008-04-01,Completed,2563.55,2007-08-01
121535,0,1999-05-01,1,0,0,6,0,8155,0.15,8,3191.218575,1852.05,2800,391.22,0,0,0,2010-09-01,Completed,89.8,2007-08-01
121568,0,1999-05-01,1,0,0,6,0,8155,0.15,8,4622.489229,2224.58,4000,622.49,0,0,0,2010-09-01,Completed,129.76,2007-08-01
121824,0,2000-02-01,0,0,0,10,0,3678,0.31,14,3158.893661,2290.21,3000,158.89,0,0,0,2008-05-01,Completed,2494.29,2015-01-01
122070,0,1999-07-01,2,42,0,10,0,2040,0.36,21,6446.047047,1969.62,5400,1046.05,0,0,0,2010-04-01,Completed,1055.1,2012-01-01
122404,0,2000-03-01,2,0,0,9,0,33074,0.69,9,13813.15438,1733.47,12750,1063.15,0,0,0,2008-04-01,Completed,11149.39,2007-08-01
122637,0,2000-09-01,0,0,0,12,0,1918,0.17,16,4495.838507,1742.16,4000,495.84,0,0,0,2010-09-01,Completed,126.29,2010-08-01
122718,0,2002-10-01,0,0,0,8,0,22379,0.62,15,20042.61423,866.8,18500,1542.61,0,0,0,2008-04-01,Completed,16177.15,2011-02-01
123228,0,2001-08-01,0,0,0,4,0,10296,0.43,8,12838.44,624.61,10395.56,2442.88,0,0,0,2009-05-01,Completed,642.02,2016-05-01
123230,0,2004-02-01,3,0,0,16,0,2867,0.55,17,628.19,281.8,455.95,172.24,0,0,0,2008-03-01,Completed,104.76,2016-04-01
124436,0,2002-10-01,0,0,0,9,0,12310,0.86,15,5675.572528,3635.91,4800,875.57,0,0,0,2010-09-01,Completed,160.09,2014-08-01
125671,0,1971-02-01,0,0,0,10,0,61921,0.39,27,13819.081,5784.07,12125,1694.08,0,0,0,2010-09-01,Completed,385.26,2010-09-01
125897,0,1997-06-01,2,0,0,9,0,16738,0.26,24,7174.090957,2517.7,6625,549.09,0,0,0,2008-08-01,Completed,2329.53,2015-11-01
126213,0,1991-05-01,1,0,0,13,0,40384,0.09,28,10727.30463,4403.84,9500,1227.3,0,0,0,2010-09-01,Completed,299.36,2010-09-01
126215,0,2001-10-01,2,0,0,8,0,1359,0.06,16,5459.636223,2293.05,5000,459.64,0,0,0,2009-05-01,Completed,143.94,2009-05-01
126287,0,1979-06-01,2,0,0,18,0,107501,0.45,34,11068.42185,3237.51,10000,1068.42,0,0,0,2008-10-01,Completed,7110.05,2008-09-01
126392,0,1985-09-01,3,0,0,14,0,3054,0.06,41,10435.30342,2843.62,10000,435.3,0,0,0,2008-04-01,Completed,8553.6,2007-08-01
126776,0,1983-11-01,0,0,0,11,0,40384,0.1,25,10727.30463,1383.26,9500,1227.3,0,0,0,2010-10-01,Completed,305.23,2010-09-01
126788,0,1995-04-01,3,0,0,9,0,128000,0,18,8104.154188,6267.21,7500,604.15,0,0,0,2008-09-01,Completed,5468.54,2008-08-01
127213,0,1991-06-01,0,0,0,14,0,4709,0.19,8,2219.432551,1747.8,2000,219.43,0,0,0,2010-04-01,Completed,3.06,2010-04-01
127353,1,1992-09-01,0,4,0,5,0,2850,0.75,19,3381.645272,1245.87,2850,531.65,0,0,0,2010-04-01,Completed,9.29,2010-04-01
127472,0,1996-07-01,0,46,0,5,0,51,0,9,2580.248838,666.85,943.58,382.27,0,1254.398838,444.25,2009-03-01,Completed,73.68,2016-05-01
127504,0,1993-02-01,0,0,0,7,0,37152,0.04,19,11291.91405,1489.2,10000,1291.92,0,0,0,2010-11-01,Completed,317.43,2010-11-01
127531,0,1992-01-01,1,0,0,13,0,3839,0.17,24,19555.18587,345.09,17000,2555.19,0,0,0,2010-09-01,Completed,545.37,2015-11-01
127719,0,1993-02-01,0,0,0,6,0,37152,0.04,12,11291.91956,4141.29,10000,1291.92,0,0,0,2010-11-01,Completed,323.55,2010-11-01
127830,1,1997-10-01,0,22,0,15,0,26283,0.4,20,7294.65,136.4,5717.45,1474.29,0,102.91,1.04,2009-12-01,Completed,266.37,2010-05-01
128635,0,2002-12-01,0,0,0,6,0,5607,0.42,7,7648.052287,588.31,6500,1088.05,60,0,0,2010-10-01,Completed,188.8,2012-04-01
128881,0,2004-08-01,3,0,0,3,0,1061,0.82,4,8570.680502,91.83,7000,1540.68,30,0,0,2010-11-01,Completed,126.36,2010-10-01
129745,0,1994-11-01,1,0,0,8,0,56740,0.78,23,11663.55831,320.75,10000,1663.56,0,0,0,2010-10-01,Completed,327.94,2010-09-01
130512,0,1992-08-01,1,0,0,11,0,40598,0.77,42,8192.665786,480.26,7250,942.67,0,0,0,2009-05-01,Completed,3946.77,2010-03-01
130735,0,2004-03-01,1,0,0,28,0,3815,0.07,32,11444.36549,1032.78,10250,1194.37,0,0,0,2008-09-01,Completed,7924.41,2008-08-01
130907,0,1996-12-01,1,64,0,10,0,0,0,22,4191.717919,1027.11,3775,416.72,0,0,0,2010-08-01,Completed,9.7,2016-03-01
130986,0,1963-05-01,0,0,0,4,0,50,0,6,2338.44735,2032.22,2100,238.45,0,0,0,2010-10-01,Completed,69.15,2010-12-01
131223,0,1997-11-01,1,34,0,4,0,4569,0.56,7,25188.82338,1511.33,20000,5188.82,0,0,0,2010-10-01,Completed,707.68,2010-09-01
131387,0,1999-04-01,0,0,0,6,0,8528,0.86,7,7029.69413,702.97,6000,1029.69,0,0,0,2010-10-01,Completed,198.8,2010-09-01
131618,0,2000-01-01,0,0,0,11,0,14345,0.46,21,10641.12426,916.33,9000,1641.12,0,0,0,2010-10-01,Completed,298.04,2013-03-01
131649,0,1998-07-01,1,41,0,11,0,113,0.02,21,7833.037378,1211.92,6625,1208.04,0,0,0,2010-10-01,Completed,219.63,2010-09-01
131782,0,1999-04-01,3,0,0,8,0,12231,0.81,13,6138,812.88,4386.34,1601.56,0,150.1,1.6,2009-12-01,Completed,50.09,2010-05-01
132062,1,1997-06-01,0,8,0,14,0,13552,0.69,18,8943.420138,1552.69,7200,1743.42,0,0,0,2010-10-01,Completed,252.65,2016-04-01
132172,0,2000-11-01,0,0,0,11,0,16813,0.64,13,6939.838576,1040.98,6000,939.84,0,0,0,2010-02-01,Completed,1692.37,2010-02-01
132892,0,1997-08-01,3,60,117,9,1,26233,0.63,37,4015.96,311.64,1496.83,609.26,0,1909.87,668.36,2008-05-01,Completed,301.05,2016-05-01
132946,0,1982-07-01,0,0,0,7,0,5760,0.16,10,5900.951139,1090.7,5275,625.95,0,0,0,2010-10-01,Completed,172.42,2010-10-01
133301,1,1989-11-01,1,22,0,3,0,105,0.35,25,4073.98,677.96,2938.05,676.44,0,459.49,124.88,2009-10-01,Completed,150.66,2016-05-01
133685,0,2001-10-01,0,0,0,10,0,11490,0.96,11,7762.02533,1113.05,6625,1137.03,0,0,0,2010-02-01,Completed,1888.34,2010-03-01
134436,1,1993-05-01,3,23,0,13,0,17641,0.31,24,3068.020133,1215.06,2525,543.02,0,0,0,2010-10-01,Completed,89.89,2015-08-01
135201,0,1998-10-01,3,0,0,5,0,0,0,9,10273.97249,205.52,10000,273.97,0,0,0,2008-01-01,Completed,9617.25,2007-09-01
135594,0,1983-09-01,1,0,0,13,0,12430,0.19,32,5504.771552,1304.46,5275,229.77,0,0,0,2008-05-01,Completed,4512.61,2007-09-01
136226,0,2003-06-01,0,0,0,8,0,12323,0.44,16,5035.12991,995.32,4300,735.13,0,0,0,2010-04-01,Completed,964.01,2016-05-01
136316,0,1998-09-01,0,0,0,10,0,38624,0.98,23,3515.867902,1307.55,3025,490.87,0,0,0,2010-05-01,Completed,576.99,2016-05-01
136491,1,2001-08-01,2,15,0,5,0,875,0.55,8,2477.03,779.4,1756.71,574.25,0,146.07,1.48,2009-07-01,Completed,333.29,2015-03-01
136634,4,1987-12-01,3,15,0,7,0,1196,0.12,16,10235.30514,1535.3,8500,1735.31,0,0,0,2010-10-01,Completed,289.62,2010-10-01
137042,1,2000-03-01,3,12,0,9,0,26628,0.6,18,6989.312454,896.86,5650,1339.31,0,0,0,2010-10-01,Completed,203.82,2010-10-01
137106,0,1991-11-01,2,0,0,12,0,6752,0.25,18,4382.295761,538.2,4275,107.3,0,0,0,2008-01-01,Completed,4105.9,2007-10-01
137271,0,2003-09-01,1,0,0,3,0,458,0.92,3,2313.97,1211.82,400.45,160.03,0,1753.49,613.6,2008-06-01,Completed,70.25,2016-05-01
137965,0,1998-02-01,0,0,0,7,0,16786,0.45,12,9013.504593,3915.24,8000,1013.5,0,0,0,2010-02-01,Completed,2222.28,2011-01-01
138557,0,1981-02-01,0,76,0,10,0,7336,0.3,20,9474.504091,715.6,8275,1199.5,0,0,0,2010-10-01,Completed,265.32,2010-10-01
138568,0,1997-08-01,1,0,0,10,0,7089,0.42,25,3767.310996,1466.66,3275,492.31,0,0,0,2010-10-01,Completed,114.05,2010-10-01
139057,0,1993-10-01,0,0,0,7,0,18388,0.69,22,6207.582068,1749.41,5500,707.58,0,0,0,2010-09-01,Completed,12.81,2010-09-01
139657,0,2002-07-01,2,54,0,2,0,613,0.77,7,1393.109735,349.3,1200,193.11,0,0,0,2010-11-01,Completed,40.85,2013-07-01
139790,1,2004-09-01,3,14,0,3,0,566,0.52,5,3597.734061,2637.96,1956.75,545,0,1095.984061,389.89,2009-12-01,Completed,100.35,2016-05-01
139968,0,2001-09-01,1,41,0,9,0,9166,0.5,20,12074.02691,2626.1,10000,2074.03,0,0,0,2010-07-01,Completed,1333.8,2012-04-01
139980,0,1994-05-01,0,62,76,6,1,5406,0.33,14,4820.71,1347.19,3891.56,844.02,29.97,55.16,0.7,2010-03-01,Completed,163.49,2010-08-01
140036,0,2001-11-01,2,0,0,7,0,1188,0.03,7,868.81,477.36,719.9,148.91,0,0,0,2010-01-01,Completed,32.25,2016-05-01
140452,0,1976-12-01,1,0,0,9,0,12003,0.4,9,3528.643953,2146.83,3000,483.65,45,0,0,2010-10-01,Completed,108.86,2010-10-01
140561,0,1994-08-01,1,0,0,9,0,20511,0.62,9,520.03,52.38,323.55,110.68,0,85.8,0.86,2008-05-01,Completed,72.42,2009-01-01
140687,0,1997-09-01,2,0,0,11,0,55720,0.1,41,3264.399986,1964.42,2825,439.4,0,0,0,2010-11-01,Completed,96.65,2016-05-01
140900,0,1980-10-01,0,0,0,14,0,7744,0.17,34,8539.466798,593.4,8275,264.47,0,0,0,2008-04-01,Completed,7501.59,2007-10-01
141041,0,1992-11-01,1,0,0,12,0,51761,0.38,37,6095.488269,1011.1,5275,820.49,0,0,0,2010-11-01,Completed,171.85,2010-10-01
141676,0,2003-09-01,0,0,0,10,0,579,0.23,15,6890.119612,1521.91,6225,665.12,0,0,0,2008-12-01,Completed,4427.01,2015-09-01
141774,0,1982-12-01,0,0,0,15,0,34776,0.54,41,1605.3,651.62,1028.79,427.59,0,148.92,5.72,2008-08-01,Completed,162.01,2016-05-01
142281,0,2002-08-01,0,0,0,15,0,8047,0.34,15,7850.413498,616.82,7000,850.41,0,0,0,2009-05-01,Completed,3995.3,2016-04-01
142608,0,1999-01-01,3,0,0,6,0,0,0,6,5931.806949,2787.95,5000,826.81,105,0,0,2010-10-01,Completed,490.01,2010-09-01
142618,1,2000-09-01,0,9,0,5,0,409,0.82,17,5701.515761,1930.2,4800,901.52,0,0,0,2010-11-01,Completed,162.23,2010-10-01
142734,0,1981-04-01,0,0,0,9,0,185,0.01,18,27752.44158,1914.95,25000,2752.44,0,0,0,2009-06-01,Completed,13442.6,2009-06-01
142790,0,1990-06-01,2,0,0,13,0,48251,0.5,28,5664.122277,2012.63,4925,739.12,0,0,0,2010-06-01,Completed,665.84,2016-05-01
143102,0,2000-09-01,0,59,0,23,0,772,0.97,29,3499.046563,2335.17,3000,499.05,0,0,0,2010-11-01,Completed,98.93,2010-11-01
143128,1,1999-05-01,1,11,0,9,0,1019,0.05,13,9504.997523,1597.44,8000,1505,0,0,0,2010-11-01,Completed,273.47,2016-04-01
143566,0,1992-05-01,2,38,0,11,0,8332,0.4,28,14566.08622,323.69,12375,2191.09,0,0,0,2010-11-01,Completed,405.99,2010-10-01
144579,0,1991-02-01,1,0,0,12,0,1790,0.05,22,10461.78715,4381.33,9850,611.79,0,0,0,2008-10-01,Completed,7387.64,2008-10-01
144635,0,1990-06-01,3,0,0,14,0,62739,0.75,33,9239.37,1371.43,6646.07,2583.15,0,10.15,3.91,2008-10-01,Completed,839.95,2016-05-01
146564,0,1995-01-01,2,60,0,6,0,29901,0.71,19,8094.3,2247.98,6700.52,1372.48,15,6.31,1.14,2010-05-01,Completed,553.62,2016-05-01
146641,0,2003-07-01,1,0,0,6,0,5867,0.74,7,8231.777527,5196.31,8000,231.78,0,0,0,2008-02-01,Completed,7703.28,2007-10-01
146671,0,2001-12-01,1,0,0,8,0,10605,0.22,27,26131.73499,2979.02,25000,1131.73,0,0,0,2008-05-01,Completed,22120.23,2009-08-01
146844,0,1981-05-01,3,0,0,27,0,57196,0.45,39,12699.13,2871.53,6316.3,4640.67,20.22,1721.94,386.85,2011-12-01,Completed,100.2,2011-12-01
148473,0,1994-05-01,2,28,0,4,0,481,0.8,17,4484.82,817.92,3239.25,893.7,47.69,304.18,3.09,2009-07-01,Completed,500.11,2011-01-01
149575,0,2003-07-01,1,0,0,2,0,2282,0.19,2,11121.68928,3058.47,10000,1121.69,0,0,0,2009-10-01,Completed,19.94,2009-10-01
149754,0,2004-09-01,1,0,0,8,0,3614,0.61,13,4708.201721,1139.97,3999.99,708.21,0,0,0,2010-11-01,Completed,135.81,2016-05-01
150940,0,1989-02-01,1,0,113,9,1,14930,0.79,21,8174.02191,1167.72,7000,1174.02,0,0,0,2010-05-01,Completed,1571.29,2016-04-01
151587,0,1979-01-01,0,0,0,7,0,33989,0.83,16,22759.93342,770.07,19950,2809.93,0,0,0,2009-11-01,Completed,7966.24,2009-11-01
