Loan_ID,Member_ID,Loan_Amnt,Funded_Amnt,Funded_Amnt_Inv,Term_Months,Int_rate,Installment,Customer_Grade,Customer_Sub_Grade,Emp_Length,Home_Ownership,Annual_income,Verification_Status,Issue_Date,Loan_Status,Good_vs_Bad_Loan,Purpose,State,Debt_to_Income_Ratio
69251,267771,6000,6000,500,36,8,188.02,A,A3,< 1 year,MORTGAGE,75000,Not Verified,2008-05-01,Fully Paid,Good Loan,other,OH,16.08
69550,270212,11200,11200,11187.76149,60,15.33,268.4,D,D3,2 years,RENT,46000,Not Verified,2010-05-01,Fully Paid,Good Loan,debt_consolidation,AZ,17.19
69828,272798,15000,15000,13138.20185,36,8.63,474.42,A,A5,10+ years,OWN,50000,Not Verified,2008-03-01,Fully Paid,Good Loan,other,MI,2.59
69924,274280,10000,10000,8790.326481,36,13.55,339.6,D,D4,3 years,RENT,100000,Not Verified,2008-03-01,Fully Paid,Good Loan,credit_card,CA,7.94
69990,275254,15500,15500,14400,36,7.88,484.85,A,A5,< 1 year,RENT,125000,Not Verified,2010-02-01,Fully Paid,Good Loan,credit_card,CT,7.05
70348,280311,9600,9600,9265.24,36,12.29,320.19,C,C5,4 years,RENT,78000,Not Verified,2008-03-01,Fully Paid,Good Loan,debt_consolidation,IL,8.8
76597,76583,5000,5000,1775,36,9.01,159.03,B,B2,1 year,MORTGAGE,250000,Not Verified,2007-07-01,Fully Paid,Good Loan,other,NY,10
84918,84914,5000,5000,2025,36,7.43,155.38,A,A2,10+ years,MORTGAGE,65000,Not Verified,2007-09-01,Fully Paid,Good Loan,other,MA,0.28
87023,86999,7500,7500,800,36,13.75,255.43,E,E2,< 1 year,OWN,22000,Not Verified,2007-06-01,Fully Paid,Good Loan,debt_consolidation,MA,14.29
88854,70699,5000,5000,225,36,7.43,155.38,A,A2,4 years,RENT,200000,Not Verified,2007-08-01,Fully Paid,Good Loan,house,NY,0.28
90376,89243,5000,5000,650,36,7.43,155.38,A,A2,< 1 year,MORTGAGE,200000,Not Verified,2007-07-01,Fully Paid,Good Loan,other,MD,3.72
90395,90390,5000,5000,1325,36,8.07,156.84,A,A4,< 1 year,MORTGAGE,100000,Not Verified,2007-07-01,Fully Paid,Good Loan,debt_consolidation,MA,2.3
90665,90607,8500,8500,875,36,10.28,275.38,C,C1,3 years,RENT,18000,Not Verified,2007-07-01,Fully Paid,Good Loan,credit_card,NC,6.4
90966,90962,5000,5000,4150,36,7.43,155.38,A,A2,8 years,MORTGAGE,150000,Not Verified,2007-07-01,Fully Paid,Good Loan,home_improvement,GA,0
92187,92174,2500,2500,1075,36,8.07,78.42,A,A4,4 years,MORTGAGE,110000,Not Verified,2007-07-01,Fully Paid,Good Loan,home_improvement,CO,11.33
92402,92390,5000,5000,700,36,8.7,158.3,B,B1,5 years,MORTGAGE,75000,Not Verified,2007-07-01,Fully Paid,Good Loan,credit_card,CO,15.55
92440,92423,5000,5000,3100,36,7.43,155.38,A,A2,7 years,MORTGAGE,95000,Not Verified,2007-07-01,Fully Paid,Good Loan,vacation,MA,3.83
92507,92502,5000,5000,250,36,7.43,155.38,A,A2,1 year,OWN,85000,Not Verified,2007-07-01,Fully Paid,Good Loan,credit_card,WI,0.31
92533,92529,5000,5000,675,36,11.22,164.23,C,C4,< 1 year,OWN,80000,Not Verified,2007-07-01,Fully Paid,Good Loan,credit_card,WI,1.21
92552,92542,5000,5000,375,36,9.96,161.25,B,B5,4 years,MORTGAGE,48000,Not Verified,2007-07-01,Fully Paid,Good Loan,debt_consolidation,FL,8.03
92666,92661,5000,5000,525,36,9.33,159.77,B,B3,2 years,MORTGAGE,180000,Not Verified,2007-07-01,Fully Paid,Good Loan,home_improvement,WI,11.93
92676,92671,5000,5000,150,36,8.07,156.84,A,A4,< 1 year,MORTGAGE,180000,Not Verified,2007-07-01,Fully Paid,Good Loan,home_improvement,WI,5.55
93061,93057,5000,5000,250,36,7.43,155.38,A,A2,8 years,MORTGAGE,120000,Not Verified,2007-07-01,Fully Paid,Good Loan,debt_consolidation,MA,2.29
93277,93254,3000,3000,950,36,8.7,94.98,B,B1,< 1 year,MORTGAGE,25000,Not Verified,2007-07-01,Fully Paid,Good Loan,small_business,MA,14.54
94838,73673,3000,3000,2550,36,10.28,97.2,C,C1,2 years,MORTGAGE,200000,Not Verified,2007-07-01,Fully Paid,Good Loan,home_improvement,NY,0
96350,96338,5000,5000,850,36,11.22,164.23,C,C4,1 year,OWN,30000,Not Verified,2007-07-01,Fully Paid,Good Loan,credit_card,GA,18.64
96844,95222,5300,5300,600,36,8.38,167.02,A,A5,7 years,MORTGAGE,74000,Not Verified,2007-07-01,Fully Paid,Good Loan,credit_card,IN,14.37
98276,98268,5400,5400,200,36,7.75,168.6,A,A3,< 1 year,RENT,8000,Not Verified,2007-07-01,Fully Paid,Good Loan,educational,GA,3
98339,97572,5100,5100,575,36,8.38,160.72,A,A5,4 years,RENT,32000,Not Verified,2007-07-01,Fully Paid,Good Loan,vacation,IN,14.78
98982,98957,5000,5000,675,36,9.01,159.03,B,B2,1 year,RENT,73000,Not Verified,2007-07-01,Fully Paid,Good Loan,credit_card,VA,9.96
99009,98991,5750,5750,3675,36,7.43,178.69,A,A2,10+ years,MORTGAGE,125000,Not Verified,2007-07-01,Fully Paid,Good Loan,debt_consolidation,MA,0.27
100214,100208,5000,5000,3675,36,7.43,155.38,A,A2,< 1 year,OWN,45000,Not Verified,2007-08-01,Fully Paid,Good Loan,credit_card,WI,1.12
101579,100083,10000,10000,400,36,10.28,323.98,C,C1,< 1 year,RENT,27376,Not Verified,2007-07-01,Fully Paid,Good Loan,small_business,CO,10.7
102376,95212,25000,25000,525,36,10.59,813.65,C,C2,2 years,RENT,48000,Not Verified,2007-07-01,Fully Paid,Good Loan,small_business,NY,4.05
106079,106039,3500,3500,1200,36,9.96,112.87,B,B5,< 1 year,RENT,13500,Not Verified,2007-07-01,Fully Paid,Good Loan,educational,FL,16.44
106360,106333,2700,2700,550,36,15.96,94.88,F,F4,1 year,RENT,52200,Not Verified,2007-07-01,Fully Paid,Good Loan,debt_consolidation,MA,12.57
107136,107130,12250,12250,1525,36,10.59,398.69,C,C2,3 years,RENT,60000,Not Verified,2007-07-01,Fully Paid,Good Loan,small_business,FL,17.12
109355,109346,1200,1200,0,36,11.54,39.6,C,C5,< 1 year,RENT,20000,Not Verified,2007-07-01,Fully Paid,Good Loan,credit_card,ME,2.04
111227,111223,20000,20000,2800,36,13.43,678.08,E,E1,6 years,MORTGAGE,145000,Not Verified,2007-08-01,Charged Off,Bad Loan,credit_card,FL,10.15
111307,105982,12000,12000,2500,36,12.49,401.37,D,D3,9 years,OWN,75000,Not Verified,2007-08-01,Fully Paid,Good Loan,credit_card,FL,15
111917,111912,6400,6400,4075,36,9.64,205.45,B,B4,1 year,RENT,60000,Not Verified,2007-08-01,Fully Paid,Good Loan,moving,WI,7.72
112216,106279,12000,12000,1025,36,11.86,397.75,D,D1,1 year,RENT,65000,Not Verified,2007-08-01,Fully Paid,Good Loan,debt_consolidation,NY,7.14
112245,112227,5000,5000,3975,36,7.43,155.38,A,A2,6 years,RENT,40000,Not Verified,2007-07-01,Fully Paid,Good Loan,car,WI,2.55
112323,107671,3500,3500,1125,36,10.28,113.39,C,C1,< 1 year,RENT,20000,Not Verified,2007-07-01,Fully Paid,Good Loan,moving,MA,1.5
112496,112493,3000,3000,525,36,11.86,99.44,D,D1,2 years,MORTGAGE,36153,Not Verified,2007-08-01,Fully Paid,Good Loan,debt_consolidation,IN,7.47
113156,113146,3500,3500,3500,36,8.07,109.79,A,A4,5 years,RENT,98000,Not Verified,2007-08-01,Fully Paid,Good Loan,credit_card,NJ,8.52
113179,113093,1000,1000,950,36,10.59,32.55,C,C2,2 years,MORTGAGE,33990,Not Verified,2007-08-01,Charged Off,Bad Loan,wedding,VA,14.47
113194,113115,3500,3500,1725,36,9.96,112.87,B,B5,1 year,RENT,78000,Not Verified,2007-08-01,Fully Paid,Good Loan,other,NJ,11.06
116040,116037,5000,5000,775,36,9.64,160.51,B,B4,3 years,MORTGAGE,130000,Not Verified,2007-08-01,Fully Paid,Good Loan,debt_consolidation,CT,8.55
116582,116502,10000,10000,975,36,13.75,340.57,E,E2,< 1 year,RENT,35000,Not Verified,2007-08-01,Fully Paid,Good Loan,debt_consolidation,NY,17.38
117056,117046,5000,5000,1475,36,7.75,156.11,A,A3,1 year,MORTGAGE,225000,Not Verified,2007-08-01,Fully Paid,Good Loan,home_improvement,WI,6.48
117249,116607,5000,5000,1300,36,7.43,155.38,A,A2,< 1 year,MORTGAGE,70000,Not Verified,2007-08-01,Fully Paid,Good Loan,credit_card,AZ,4.56
117794,94256,7500,7500,400,36,8.07,235.25,A,A4,1 year,MORTGAGE,150000,Not Verified,2007-08-01,Fully Paid,Good Loan,home_improvement,MA,2.72
117863,117849,8000,8000,2275,36,9.96,257.99,B,B5,3 years,RENT,48000,Not Verified,2007-08-01,Fully Paid,Good Loan,debt_consolidation,MD,15.13
118523,118519,6500,6500,225,36,15.01,225.37,F,F1,9 years,MORTGAGE,213000,Not Verified,2007-08-01,Charged Off,Bad Loan,small_business,GA,6.45
118533,117783,2500,2500,825,36,9.64,80.26,B,B4,< 1 year,MORTGAGE,75000,Not Verified,2007-08-01,Charged Off,Bad Loan,home_improvement,NE,20
118823,118026,2500,2500,675,36,12.8,84,D,D4,< 1 year,MORTGAGE,32000,Not Verified,2007-08-01,Charged Off,Bad Loan,home_improvement,NE,20
119043,119040,15450,15450,600,36,11.22,507.46,C,C4,2 years,MORTGAGE,40000,Not Verified,2007-08-01,Charged Off,Bad Loan,debt_consolidation,VA,13.5
120215,118760,4000,4000,3575,36,7.43,124.31,A,A2,< 1 year,RENT,40000,Not Verified,2007-08-01,Fully Paid,Good Loan,educational,NJ,3.45
120374,119635,2000,2000,475,36,8.7,63.32,B,B1,< 1 year,RENT,70000,Not Verified,2007-08-01,Fully Paid,Good Loan,credit_card,NY,6.07
120525,120227,4000,4000,1475,36,10.91,130.79,C,C3,1 year,RENT,18000,Not Verified,2007-08-01,Fully Paid,Good Loan,car,VA,18
121426,121423,3000,3000,2975,36,7.75,93.67,A,A3,10+ years,OWN,125000,Not Verified,2007-08-01,Fully Paid,Good Loan,home_improvement,WA,2.14
121530,121527,3000,3000,2225,36,7.75,93.67,A,A3,9 years,OWN,50000,Not Verified,2007-08-01,Fully Paid,Good Loan,vacation,WA,5.35
121535,121373,2800,2800,1625,36,8.7,88.65,B,B1,< 1 year,NONE,120000,Not Verified,2007-08-01,Fully Paid,Good Loan,other,MA,15
121568,121574,4000,4000,1925,36,9.64,128.41,B,B4,< 1 year,NONE,100000,Not Verified,2007-08-01,Fully Paid,Good Loan,other,CA,15
121824,121808,3000,3000,2175,36,8.7,94.98,B,B1,5 years,MORTGAGE,62000,Not Verified,2007-08-01,Fully Paid,Good Loan,home_improvement,FL,12.23
122070,120407,5400,5400,1650,36,12.17,179.8,D,D2,1 year,MORTGAGE,35000,Not Verified,2007-08-01,Fully Paid,Good Loan,debt_consolidation,MA,7.1
122404,122398,12750,12750,1600,36,15.33,444.05,F,F2,1 year,RENT,60000,Not Verified,2007-08-01,Fully Paid,Good Loan,credit_card,NY,19.52
122637,104675,4000,4000,1550,36,7.75,124.89,A,A3,1 year,OWN,61800,Not Verified,2007-08-01,Fully Paid,Good Loan,other,CT,3.46
122718,122713,18500,18500,800,36,15.33,644.3,F,F2,1 year,RENT,90000,Not Verified,2007-08-01,Fully Paid,Good Loan,credit_card,NY,5.24
123228,120995,20000,20000,975,36,9.64,642.02,B,B4,< 1 year,RENT,96000,Not Verified,2007-09-01,Charged Off,Bad Loan,small_business,NY,2.86
123230,80353,3175,3175,1425,36,11.54,104.76,C,C5,< 1 year,OWN,15000,Not Verified,2007-08-01,Charged Off,Bad Loan,small_business,MA,12.24
124436,124430,4800,4800,3075,36,11.22,157.66,C,C4,5 years,RENT,30000,Not Verified,2007-09-01,Fully Paid,Good Loan,debt_consolidation,NE,12.36
125671,125668,12125,12125,5075,36,8.7,383.87,B,B1,10+ years,MORTGAGE,150000,Not Verified,2007-09-01,Fully Paid,Good Loan,debt_consolidation,NY,4.8
125897,124159,6625,6625,2325,36,11.22,217.6,C,C4,2 years,MORTGAGE,88000,Not Verified,2007-09-01,Fully Paid,Good Loan,credit_card,VA,18
126213,126209,9500,9500,3900,36,8.07,297.99,A,A4,2 years,OWN,63000,Not Verified,2007-09-01,Fully Paid,Good Loan,other,MA,3.49
126215,125654,5000,5000,2100,36,7.75,156.11,A,A3,< 1 year,RENT,45000,Not Verified,2007-09-01,Fully Paid,Good Loan,debt_consolidation,OH,5
126287,125787,10000,10000,2925,36,11.54,329.95,C,C5,9 years,MORTGAGE,225000,Not Verified,2007-09-01,Fully Paid,Good Loan,debt_consolidation,MA,20
126392,125914,10000,10000,2725,36,8.07,313.67,A,A4,< 1 year,MORTGAGE,173000,Not Verified,2007-09-01,Fully Paid,Good Loan,car,WI,0.72
126776,126773,9500,9500,1225,36,8.07,297.99,A,A4,2 years,OWN,90000,Not Verified,2007-10-01,Fully Paid,Good Loan,other,MA,2.44
126788,126782,7500,7500,5800,36,9.33,239.65,B,B3,6 years,MORTGAGE,93000,Not Verified,2007-09-01,Fully Paid,Good Loan,home_improvement,FL,9.66
127213,85483,2000,2000,1575,36,7.12,61.87,A,A1,10+ years,MORTGAGE,118000,Not Verified,2007-09-01,Fully Paid,Good Loan,debt_consolidation,MA,0.43
127353,127345,2850,2850,1050,36,11.86,94.47,D,D1,3 years,RENT,45000,Not Verified,2007-09-01,Fully Paid,Good Loan,other,NY,2.8
127472,127460,2125,2125,550,36,15.01,73.68,F,F1,< 1 year,MORTGAGE,96000,Not Verified,2007-09-01,Charged Off,Bad Loan,small_business,NC,16.89
127504,127500,10000,10000,1321.1,36,8.07,313.67,A,A4,6 years,MORTGAGE,150000,Not Verified,2007-11-01,Fully Paid,Good Loan,home_improvement,MA,5.84
127531,127525,17000,17000,300,36,9.33,543.2,B,B3,10+ years,RENT,75000,Not Verified,2007-09-01,Fully Paid,Good Loan,debt_consolidation,NY,9.55
127719,127716,10000,10000,3687.83,36,8.07,313.67,A,A4,3 years,MORTGAGE,85000,Not Verified,2007-11-01,Fully Paid,Good Loan,home_improvement,MA,3.11
127830,127824,8000,8000,150,36,12.17,266.37,D,D2,9 years,MORTGAGE,70000,Not Verified,2007-09-01,Charged Off,Bad Loan,credit_card,FL,10.2
128635,127807,6500,6500,500,36,10.28,210.6,C,C1,< 1 year,OWN,45000,Not Verified,2007-09-01,Fully Paid,Good Loan,debt_consolidation,NY,5.87
128881,128775,7000,7000,75,36,12.49,234.15,D,D3,< 1 year,RENT,23000,Not Verified,2007-09-01,Fully Paid,Good Loan,other,NM,5.01
129745,129716,10000,10000,275,36,10.28,323.99,C,C1,3 years,RENT,120000,Not Verified,2007-09-01,Fully Paid,Good Loan,debt_consolidation,NC,14.4
130512,130019,7250,7250,425,36,10.59,235.96,C,C2,5 years,MORTGAGE,57000,Not Verified,2007-10-01,Fully Paid,Good Loan,credit_card,MD,7.22
130735,130725,10250,10250,925,36,14.38,352.22,E,E4,4 years,RENT,72000,Not Verified,2007-10-01,Fully Paid,Good Loan,debt_consolidation,FL,17.83
130907,130904,3775,3775,925,36,7.43,117.31,A,A2,7 years,MORTGAGE,120000,Not Verified,2007-10-01,Fully Paid,Good Loan,other,MO,0
130986,130983,2100,2100,1825,36,7.12,64.96,A,A1,< 1 year,RENT,110000,Not Verified,2007-10-01,Fully Paid,Good Loan,debt_consolidation,MA,0.22
131223,129367,20000,20000,1200,36,15.65,699.69,F,F3,6 years,RENT,92000,Not Verified,2007-10-01,Fully Paid,Good Loan,small_business,MD,1.53
131387,113921,6000,6000,600,36,10.59,195.27,C,C2,2 years,RENT,19000,Not Verified,2007-10-01,Fully Paid,Good Loan,educational,NY,8.15
131618,131612,9000,9000,775,36,11.22,295.59,C,C4,< 1 year,RENT,32400,Not Verified,2007-10-01,Fully Paid,Good Loan,credit_card,AZ,22.15
131649,131639,6625,6625,1025,36,11.22,217.59,C,C4,3 years,RENT,50000,Not Verified,2007-10-01,Fully Paid,Good Loan,small_business,WA,18.38
131782,131769,7725,7725,1025,36,13.75,263.09,E,E2,< 1 year,RENT,62200,Not Verified,2007-10-01,Charged Off,Bad Loan,debt_consolidation,NY,9.8
132062,130915,7200,7200,1250,36,14.67,248.43,E,E5,3 years,RENT,57000,Not Verified,2007-10-01,Fully Paid,Good Loan,debt_consolidation,MA,20.76
132172,132154,6000,6000,900,36,10.28,194.4,C,C1,< 1 year,MORTGAGE,87300,Not Verified,2007-10-01,Fully Paid,Good Loan,credit_card,MO,10.6
132892,132889,9000,9000,700,36,12.49,301.04,D,D3,8 years,MORTGAGE,39000,Not Verified,2007-10-01,Charged Off,Bad Loan,debt_consolidation,MD,5.08
132946,132940,5275,5275,975,36,7.43,163.92,A,A2,9 years,MORTGAGE,85000,Not Verified,2007-10-01,Fully Paid,Good Loan,other,NC,2.64
133301,133259,4650,4650,775,36,10.28,150.66,C,C1,10+ years,MORTGAGE,45600,Not Verified,2007-10-01,Charged Off,Bad Loan,other,MO,3.26
133685,133664,6625,6625,950,36,11.22,217.59,C,C4,3 years,RENT,57100,Not Verified,2007-10-01,Fully Paid,Good Loan,debt_consolidation,VA,13.77
134436,134417,2525,2525,1000,36,13.12,85.23,D,D5,< 1 year,MORTGAGE,40000,Not Verified,2007-10-01,Fully Paid,Good Loan,home_improvement,UT,20.67
135201,135198,10000,10000,200,36,11.22,328.43,C,C4,8 years,MORTGAGE,30000,Not Verified,2007-10-01,Fully Paid,Good Loan,other,IN,20.4
135594,135591,5275,5275,1250,36,8.07,165.47,A,A4,1 year,MORTGAGE,55000,Not Verified,2007-10-01,Fully Paid,Good Loan,other,NC,12
136226,136223,4300,4300,850,36,10.91,140.6,C,C3,1 year,RENT,36000,Not Verified,2007-10-01,Fully Paid,Good Loan,debt_consolidation,MA,9.87
136316,136313,3025,3025,1125,36,10.28,98.01,C,C1,< 1 year,RENT,90000,Not Verified,2007-10-01,Fully Paid,Good Loan,wedding,LA,9.13
136491,136485,5000,5000,1574.995234,36,12.17,166.48,D,D2,< 1 year,RENT,10000,Not Verified,2007-10-01,Charged Off,Bad Loan,small_business,MD,0
136634,136631,8500,8500,1275,36,12.49,284.32,D,D3,8 years,MORTGAGE,85000,Not Verified,2007-10-01,Fully Paid,Good Loan,small_business,MD,6.38
137042,136922,25000,5650,725,36,14.38,194.15,E,E4,2 years,MORTGAGE,480000,Not Verified,2007-10-01,Fully Paid,Good Loan,small_business,NY,2.4
137106,137103,4275,4275,525,36,10.28,138.51,C,C1,< 1 year,OWN,31000,Not Verified,2007-10-01,Fully Paid,Good Loan,other,SC,24.81
137271,136588,2100,2100,1099.995904,36,12.49,70.25,D,D3,< 1 year,RENT,12500,Not Verified,2007-10-01,Charged Off,Bad Loan,debt_consolidation,NC,14.4
137965,137952,8000,8000,3475,36,8.38,252.1,A,A5,< 1 year,RENT,105000,Not Verified,2007-10-01,Fully Paid,Good Loan,credit_card,NY,9.71
138557,138075,8275,8275,625,36,9.01,263.19,B,B2,10+ years,MORTGAGE,120000,Not Verified,2007-10-01,Fully Paid,Good Loan,other,SC,12.16
138568,138553,3275,3275,1275,36,9.33,104.65,B,B3,1 year,MORTGAGE,62000,Not Verified,2007-10-01,Fully Paid,Good Loan,other,NC,3.83
139057,139053,5500,5500,1550,36,8.07,172.53,A,A4,6 years,RENT,54000,Not Verified,2007-10-01,Fully Paid,Good Loan,debt_consolidation,SC,6.29
139657,139245,1200,1200,300.99,36,9.96,38.7,B,B5,1 year,OWN,32000,Not Verified,2007-10-01,Fully Paid,Good Loan,credit_card,KS,1.13
139790,139779,3000,3000,2200.000721,36,12.49,100.35,D,D3,< 1 year,RENT,29120,Not Verified,2007-10-01,Charged Off,Bad Loan,educational,NJ,12.77
139968,139887,10000,10000,2175,36,12.8,335.98,D,D4,2 years,RENT,36400,Not Verified,2007-10-01,Fully Paid,Good Loan,debt_consolidation,AL,18.92
139980,139977,12000,5000,1399.996684,36,10.91,163.49,C,C3,1 year,MORTGAGE,39000,Not Verified,2007-10-01,Charged Off,Bad Loan,other,GA,11.78
140036,140027,4000,1000,550,36,9.96,32.25,B,B5,1 year,RENT,35000,Not Verified,2007-10-01,Charged Off,Bad Loan,other,NJ,5.83
140452,140448,3000,3000,1825.2,36,9.96,96.75,B,B5,1 year,OWN,18000,Not Verified,2007-10-01,Fully Paid,Good Loan,educational,NJ,15.4
140561,140555,2225,2225,225,36,10.59,72.42,C,C2,2 years,RENT,60000,Not Verified,2007-10-01,Charged Off,Bad Loan,moving,CA,8.14
140687,139696,2825,2825,1700,36,9.64,90.68,B,B4,3 years,MORTGAGE,70000,Not Verified,2007-10-01,Fully Paid,Good Loan,small_business,TN,18
140900,140897,8275,8275,575,36,8.07,259.58,A,A4,9 years,MORTGAGE,49000,Not Verified,2007-10-01,Fully Paid,Good Loan,other,NC,9.89
141041,141022,5275,5275,875,36,9.64,169.32,B,B4,< 1 year,MORTGAGE,70000,Not Verified,2007-10-01,Fully Paid,Good Loan,other,NC,17.57
141676,141648,6225,6225,1375,36,11.54,205.4,C,C5,< 1 year,RENT,45000,Not Verified,2007-10-01,Fully Paid,Good Loan,credit_card,MA,17.76
141774,141767,20000,4800,1949.999594,36,13.12,162.01,D,D5,8 years,MORTGAGE,85000,Not Verified,2007-10-01,Charged Off,Bad Loan,debt_consolidation,NJ,16.87
142281,142269,7000,7000,550,36,10.28,226.8,C,C1,2 years,RENT,55400,Not Verified,2007-10-01,Fully Paid,Good Loan,debt_consolidation,WA,10.05
142608,74724,5000,5000,2350,36,10.59,162.73,C,C2,< 1 year,RENT,15000,Not Verified,2007-10-01,Fully Paid,Good Loan,other,ME,24.4
142618,139881,4800,4800,1625,36,11.54,158.38,C,C5,< 1 year,RENT,25000,Not Verified,2007-10-01,Fully Paid,Good Loan,debt_consolidation,AL,18.19
142734,142718,25000,25000,1725,36,9.01,795.11,B,B2,10+ years,MORTGAGE,57000,Not Verified,2007-11-01,Fully Paid,Good Loan,small_business,WA,8.93
142790,142781,4925,4925,1750,36,9.96,158.83,B,B5,10+ years,MORTGAGE,84000,Not Verified,2007-10-01,Fully Paid,Good Loan,debt_consolidation,VA,4.84
143102,143098,3000,3000,2002.44,36,10.28,97.2,C,C1,< 1 year,RENT,38000,Not Verified,2007-10-01,Fully Paid,Good Loan,other,LA,19.93
143128,128262,8000,8000,1369.99,36,11.54,263.97,C,C5,1 year,RENT,50000,Not Verified,2007-11-01,Fully Paid,Good Loan,debt_consolidation,NH,8.04
143566,143201,12375,12375,275,36,10.91,404.62,C,C3,3 years,MORTGAGE,46713,Not Verified,2007-11-01,Fully Paid,Good Loan,small_business,VA,16.39
144579,144575,9850,9850,4125,36,7.75,307.53,A,A3,2 years,RENT,70000,Not Verified,2007-11-01,Fully Paid,Good Loan,other,NY,9.09
144635,144623,25000,25000,3724.990259,36,12.8,839.95,D,D4,2 years,MORTGAGE,75000,Not Verified,2007-11-01,Charged Off,Bad Loan,debt_consolidation,FL,24.85
146564,138910,8275,8275,2300.003381,36,10.59,269.31,C,C2,4 years,MORTGAGE,109000,Not Verified,2007-11-01,Charged Off,Bad Loan,other,NC,24.01
146641,146626,8000,8000,5050,36,11.86,265.18,D,D1,2 years,RENT,52000,Not Verified,2007-11-01,Fully Paid,Good Loan,debt_consolidation,UT,11.31
